turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,horario_original,sala_original,valor_original,pagina_pdf,arquivo_origem
2026-1-TCC00226-A1,2026-1,TCC00226,A1,2,quarta,09:00,11:00,L302,09:00-11:00,LAB. 302,09:00-11:00 LAB. 302,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00225-A1,2026-1,TCC00225,A1,1,terca,18:00,20:00,302,18:00-20:00,SALA 302,18:00-20:00 SALA 302,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00225-A1,2026-1,TCC00225,A1,2,quinta,18:00,20:00,302,18:00-20:00,SALA 302,18:00-20:00 SALA 302,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00292-A1,2026-1,TCC00292,A1,1,segunda,09:00,11:00,215,09:00-11:00,SALA 215,09:00-11:00 SALA 215,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00292-A1,2026-1,TCC00292,A1,2,quarta,09:00,11:00,215,09:00-11:00,SALA 215,09:00-11:00 SALA 215,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00293-A1,2026-1,TCC00293,A1,1,segunda,09:00,11:00,213,09:00-11:00,SALA 213,09:00-11:00 SALA 213,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00293-A1,2026-1,TCC00293,A1,2,quarta,09:00,11:00,213,09:00-11:00,SALA 213,09:00-11:00 SALA 213,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00348-A1,2026-1,TCC00348,A1,1,terca,11:00,13:00,313,11:00-13:00,SALA 313,11:00-13:00 SALA 313,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00348-A1,2026-1,TCC00348,A1,2,quinta,11:00,13:00,313,11:00-13:00,SALA 313,11:00-13:00 SALA 313,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00348-B1,2026-1,TCC00348,B1,1,terca,11:00,13:00,202,11:00-13:00,SALA 202,11:00-13:00 SALA 202,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00348-B1,2026-1,TCC00348,B1,2,quinta,11:00,13:00,202,11:00-13:00,SALA 202,11:00-13:00 SALA 202,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00331-A1,2026-1,TCC00331,A1,1,segunda,18:00,20:00,202,18:00-20:00,SALA 202,18:00-20:00 SALA 202,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00331-A1,2026-1,TCC00331,A1,2,quarta,18:00,20:00,202,18:00-20:00,SALA 202,18:00-20:00 SALA 202,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00331-B1,2026-1,TCC00331,B1,1,segunda,18:00,20:00,204,18:00-20:00,SALA 204,18:00-20:00 SALA 204,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00331-B1,2026-1,TCC00331,B1,2,quarta,18:00,20:00,204,18:00-20:00,SALA 204,18:00-20:00 SALA 204,2,dados/brutos/QH-2026-1.pdf
